model,accuracy,precision,recall,f1_score,mcc,roc_auc
EfficientNet-B0 PyTorch GPU,0.8863636363636364,0.848297213622291,0.9133333333333333,0.8796147672552167,0.7741780888130094,0.9602222222222222
Vanilla CNN,0.8257575757575758,0.7591036414565826,0.9033333333333333,0.8249619482496194,0.6639190497498699,0.9239537037037037
