accuracy,loss,val_accuracy,val_loss
0.6884779334068298,0.6845521330833435,0.7878788113594055,0.5099376440048218
0.7524893283843994,0.4780796766281128,0.7973484992980957,0.44272366166114807
0.77098149061203,0.46147334575653076,0.8181818127632141,0.40501394867897034
0.7885253429412842,0.43215644359588623,0.8181818127632141,0.4034607410430908
0.7965860366821289,0.41298815608024597,0.8238636255264282,0.38215214014053345
0.8018018007278442,0.39825645089149475,0.8238636255264282,0.3857150673866272
0.8074917197227478,0.3913232684135437,0.8068181872367859,0.4151510000228882
0.8027501106262207,0.39428919553756714,0.8238636255264282,0.37245428562164307
0.7994310259819031,0.3965115547180176,0.8333333134651184,0.3872135877609253
0.816500723361969,0.3750838339328766,0.8390151262283325,0.3671908676624298
0.8183973431587219,0.37016233801841736,0.8333333134651184,0.3651089072227478
0.8174490332603455,0.3619964122772217,0.8314393758773804,0.3774535357952118
0.823138952255249,0.3608352243900299,0.8125,0.42392733693122864
0.8321479558944702,0.35564783215522766,0.8352272510528564,0.3645404577255249
0.8311996459960938,0.34465935826301575,0.8428030014038086,0.34664827585220337
0.8425794243812561,0.3201141059398651,0.8352272510528564,0.39138808846473694
0.8397344946861267,0.3292466104030609,0.7935606241226196,0.4654490053653717
0.8387861251831055,0.3249417543411255,0.8333333134651184,0.36848658323287964
0.8487434983253479,0.3073456287384033,0.8352272510528564,0.36608821153640747
0.8482693433761597,0.31842106580734253,0.8181818127632141,0.3796834349632263
